,astro1,astro2,astro3,reactive1,reactive2,reactive3
Sparcl1,11.0765634368487,10.4252610784368,10.7905573260397,8.16760587615414,8.65947510334326,6.73276294409298
Pitpnc1,7.94571051130792,7.39828517844633,7.79123845412609,4.05448865849264,5.49563365689942,4.52523957928366
Gadd45b,6.15069663230858,6.33248166310566,5.5725944418811,9.56791073428584,9.35245586270527,8.0445044063435
l7Rn6,5.73001182318258,3.51839589189545,3.97891982606424,5.64190555617868,7.15835190115219,7.93241621665162
N6amt2,5.76190730174329,3.82776596366335,4.5912658450203,7.50745430099952,7.26771027419378,8.083143407269
Fcer1g,5.8618397791678,4.92356118922325,5.93877336036271,7.95311120468729,8.05819423983194,9.45673808800166
Hsp90aa1,7.73786577327336,5.92888661942801,6.93506725450089,2.91361799615574,5.15301032662827,6.81705885260527
Tardbp,5.87984564886213,4.23905456088553,3.76283650504038,4.33709963543922,7.39123411640941,2.50023468396695
Cntnap2,7.94592274046452,7.1008160447334,6.24607729522934,5.7446947615869,6.63786672383004,2.96500564010316
Ch25h,3.70639970731646,4.2728013779962,4.36177437148495,6.46123575762033,7.36072833149762,7.58877337394949
B2m,8.17209399266607,7.60006292150714,8.0445044063435,10.9029239610876,11.0478760961959,11.1768468458183
Gm20748,4.68916615290891,4.40650336032213,4.40667862166749,5.14957311307704,6.22437642914478,8.82341033751526
Notch2,7.22117805436317,8.47358699739053,7.04399275806046,5.15578169639906,3.99750723608533,7.90686048936913
Ddit4l,7.49201485146689,7.20229273800858,5.61820341832887,6.01066960813374,6.41244763824791,2.73247787829958
Usp2,9.13024100319213,9.13380511816781,8.70108756797268,6.24666658613849,7.361552985126,4.98839378308321
Hnrnpd,7.18514201569884,6.97429871114487,6.46686914315019,7.60223916241767,8.06447395116488,3.28860866182401
Trps1,7.33155404523874,7.47250730885447,7.64735330026449,4.74790508166103,6.37138472979679,3.46583102045564
Cd44,3.58628185029432,5.13462695037839,4.68245522716135,6.45124347454252,5.92934850313934,8.5533691236938
Fn1,3.94806538071757,3.75931142891914,4.40439451263527,4.83501629434592,5.31224678891539,8.39468527185571
Ndufaf4,7.38827530699084,7.58386139180092,6.5026370765468,3.7086791270913,4.29876591194332,7.36065862289053
Wfdc17,5.05995809608076,5.06405787858941,6.2835752577469,8.31825740101985,7.52763481397472,9.13960297714349
Lgals1,9.29758602711759,9.04198148364994,8.57418613856929,11.5093193571399,11.0337967019859,12.9524482540639
Kcnk6,4.17868307124836,6.4766103944781,4.80607000987295,6.56303219325306,3.89337948732733,8.30615368294698
Hlf,9.55164645584098,9.1327748397169,9.36620601306793,8.26675693334768,8.30940144670754,4.97258562234416
Gnao1,8.28948201510562,7.99622536002425,7.8400785774113,6.07284508825538,7.01687200549309,3.77551450012664
Luc7l3,8.62982421955274,9.05302168539486,8.35724990334178,4.50950536729323,7.8567883625339,6.52656160411616
Hus1,5.81559148458277,6.6083053777643,6.47537946053819,4.32381623230048,3.28232812404164,7.98356049480878
Tanc2,8.87323525965307,9.49161608025675,9.0058707797453,8.24557887156268,8.84467774353615,4.8555082775859
Rspry1,7.90105310653032,6.66325690346359,6.56227944709236,5.71883554650447,9.05134148752611,4.16708183875838
D19Bwg1357e,8.33324473683177,8.16160612350984,8.27888308246122,4.1373473381744,6.24813866058021,8.02725539907298
Slc39a12,9.21088167435903,8.97425049741565,8.56602676173395,6.40933921455209,5.12813124762651,6.37547116757495
Tmem179b,5.20830846683681,3.43684152839467,3.68981843954875,3.20075953675038,6.99594735344604,6.71595307468493
Ppap2b,11.7418967739881,11.4193484293286,11.3661313909472,7.98997216714354,9.22612654245628,8.35148489821733
Tspyl4,8.43935320170137,7.8991327481317,8.01227170691505,8.11482527688751,8.0095586774775,3.98187274513803
Tmc7,8.2523064302418,8.55529087556419,8.35126097260362,5.87830113675603,4.31993852457069,6.8608541907368
Amn,7.67970498249369,7.00553063481136,6.10968605739286,7.91187635603464,8.63805620325597,3.90436542750517
Tgfb2,6.84815990680146,7.63835634754094,6.93634031110448,4.18231554130145,3.43430553343206,6.38209802821148
Acsl6,9.55019303119359,8.91507172075491,9.64028334871388,6.85815969229569,6.25226878939276,5.98350741090622
Dhx36,6.79359941985574,5.78099702646306,6.05311072918515,4.0763316443321,3.91502219322159,2.26572818379321
Irf8,4.72074874710099,5.45852428570056,3.81478658434741,5.29042748216402,5.15496448137342,8.75389242795382
Kif1b,10.1398271095506,9.77571323637566,10.1857942819266,6.17685042668008,8.26709916816752,7.20497310507023
